toi_id,hostname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2
3993.0,TOI 3993,6424.0,,,1.4399,,
4003.0,TOI 4003,6647.0,146.7,146.7,1.4,0.06,0.06
3992.0,TOI 3992,5324.0,314.0,314.0,,,
4009.0,TOI 4009,5994.0,151.8,151.8,1.91,0.09,0.09
4004.0,TOI 4004,4930.3,133.5,133.5,0.76,0.04,0.04
4013.0,TOI 4013,5407.0,122.0,122.0,2.42,,
4014.0,TOI 4014,5863.0,122.0,122.0,0.98,,
4021.0,TOI 4021,6429.0,195.1,195.1,2.07,0.09,0.09
4017.0,TOI 4017,4892.0,122.0,122.0,1.88,,
4024.0,TOI 4024,5842.0,122.0,122.0,1.9,,
4023.0,TOI 4023,4841.6,165.3,165.3,,,
4030.0,TOI 4030,5574.0,122.0,122.0,0.99,,
4028.0,TOI 4028,5963.0,122.0,122.0,1.22,,
4029.0,TOI 4029,5712.4,108.5,108.5,1.18,0.05,0.05
4031.0,TOI 4031,5637.9,89.8,89.8,0.945159,,
4039.0,TOI 4039,5777.0,122.1,122.1,1.05,0.05,0.05
4040.0,TOI 4040,5446.0,132.8,132.8,0.835627,0.0471859,0.0471859
4038.0,TOI 4038,5671.0,122.0,122.0,1.45,,
4047.0,TOI 4047,8103.0,122.0,122.0,1.77,,
4050.0,TOI 4050,5966.0,122.0,122.0,1.58,,
4056.0,TOI 4056,6328.9,138.5,138.5,1.55,0.08,0.08
4055.0,TOI 4055,5675.0,122.0,122.0,1.04,,
4057.0,TOI 4057,5702.0,122.0,122.0,0.98,,
4059.0,TOI 4059,4928.0,122.0,122.0,0.82,,
4058.0,TOI 4058,4871.9,163.9,163.9,,,
4062.0,TOI 4062,5332.0,122.0,122.0,1.06,,
4069.0,TOI 4069,5366.0,122.0,122.0,0.93,,
4076.0,TOI 4076,5957.0,131.6,131.6,1.23,0.06,0.06
4070.0,TOI 4070,5229.0,122.0,122.0,0.89,,
407.0,TOI 407,5830.0,333.4,333.4,1.86,0.09,0.09
4077.0,TOI 4077,4887.0,121.1,121.1,0.801525,0.0517186,0.0517186
4078.0,TOI 4078,6323.0,503.7,503.7,,,
4080.0,TOI 4080,5389.0,122.0,122.0,0.97,,
4079.0,TOI 4079,6178.0,242.9,242.9,1.08,0.05,0.05
4082.0,TOI 4082,5972.0,276.8,276.8,1.34,0.07,0.07
4085.0,TOI 4085,5257.0,131.4,131.4,1.02586,0.0596382,0.0596382
4086.0,TOI 4086,5783.0,123.1,123.1,1.66513,0.0806784,0.0806784
4089.0,TOI 4089,5895.5,,,1.06,,
4088.0,TOI 4088,5686.0,130.8,130.8,1.21,0.06,0.06
4092.0,TOI 4092,5667.0,132.5,132.5,1.41,0.08,0.08
4090.0,TOI 4090,4740.0,124.5,124.5,0.82,0.06,0.06
4093.0,TOI 4093,5388.0,129.8,129.8,0.79,0.04,0.04
4094.0,TOI 4094,6186.0,325.3,325.3,1.2372299,0.0571608,0.0571608
4095.0,TOI 4095,5737.0,105.0,105.0,1.09,0.05,0.05
4097.0,TOI 4097,5636.0,127.9,127.9,0.82,0.04,0.04
4096.0,TOI 4096,5053.0,125.6,125.6,0.9,0.06,0.06
4099.0,TOI 4099,4836.0,120.5,120.5,0.73,0.05,0.05
4100.0,TOI 4100,6195.0,399.3,399.3,,,
4101.0,TOI 4101,6287.0,260.4,260.4,,,
4103.0,TOI 4103,5674.0,129.2,129.2,1.05,0.05,0.05
4105.0,TOI 4105,5845.0,128.4,128.4,2.25,0.11,0.11
4107.0,TOI 4107,4003.0,124.1,124.1,0.66,0.07,0.07
4108.0,TOI 4108,5834.0,131.8,131.8,1.93,0.1,0.1
4109.0,TOI 4109,4103.0,122.6,122.6,0.65,0.06,0.06
4111.0,TOI 4111,5596.0,129.8,129.8,1.39,0.07,0.07
4114.0,TOI 4114,4080.0,126.3,126.3,0.692076,0.0688216,0.0688216
4118.0,TOI 4118,5855.0,129.3,129.3,1.21,0.06,0.06
4119.0,TOI 4119,4950.0,126.7,126.7,1.18,0.08,0.08
4120.0,TOI 4120,5828.0,129.6,129.6,1.77,0.09,0.09
4123.0,TOI 4123,5375.0,122.2,122.2,0.847241,0.0460552,0.0460552
4128.0,TOI 4128,5275.0,130.6,130.6,0.92,0.06,0.06
4129.0,TOI 4129,4279.0,107.4,107.4,0.75,0.06,0.06
4147.0,TOI 4147,5865.0,129.4,129.4,1.3,0.06,0.06
4149.0,TOI 4149,5037.0,143.4,143.4,0.91,0.06,0.06
4132.0,TOI 4132,5801.0,106.5,106.5,1.69397,0.0847436,0.0847436
4151.0,TOI 4151,6906.0,97.0,97.0,2.16,0.1,0.1
4131.0,TOI 4131,5263.0,129.6,129.6,0.94,0.05,0.05
4156.0,TOI 4156,5986.0,132.4,132.4,1.04,0.05,0.05
4155.0,TOI 4155,6142.0,389.6,389.6,0.95,0.05,0.05
4154.0,TOI 4154,6320.0,131.8,131.8,1.99,0.09,0.09
