Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
G_219101992_kappa_0_0,1,1747.9386037356492,2458747.9386037355,1.2148931637027058,-2.6327701551699803,4000,1,0.5797667099162936,972000,0.38590062802741654
G_219101992_kappa_0_0,2,1748.3566602726328,2458748.3566602725,1.6036048504737233,-3.4681171595052835,4000,1,0.6633780173026025,972000,0.1711670716142983
G_219101992_kappa_0_0,1,1741.4719304906225,2458741.471930491,1.3979395889293147,-2.3476641458556977,4000,1,0.8745241106487811,972000,4.03229467009259
G_219101992_kappa_0_0,2,1751.7136147058095,2458751.713614706,1.4865762331887176,-2.7037090212978283,4000,1,0.9228609536774457,972000,0.1744779711564243
G_219101992_kappa_0_1,1,1742.849708587103,2458742.849708587,0.6509070228183869,-1.9114112446208098,4000,1,0.3058470790274441,972000,3.6808858070005956
G_219101992_kappa_0_2,1,1748.4844383714305,2458748.4844383714,1.4725314689875484,-2.8179702961625064,4000,1,0.5204174059443176,972000,0.1426573589329618
G_219101992_kappa_0_2,1,1745.9733224682677,2458745.9733224683,1.464220735504485,-3.0791970914642723,4000,1,0.06030216878280044,972000,0.2465373255262799
G_219101992_kappa_0_2,2,1746.2399895164156,2458746.2399895163,1.6018573155305693,-3.466615492016465,4000,1,0.113635578379035,972000,0.2665218630137774
G_219101992_kappa_0_2,1,1753.406669603542,2458753.4066696037,0.8917591661985111,-2.0179578831525853,4000,1,0.8124979363754392,972000,0.239890987168212
G_219101992_kappa_0_3,1,1747.77888116424,2458747.7788811643,1.339644394899779,-2.842612277941799,4000,1,0.13187011424452066,972000,0.2645627337475086
G_219101992_kappa_0_3,1,1741.8427638568046,2458741.842763857,1.3523851026711775,-2.7127292099640523,4000,1,0.10747103346511722,972000,0.15033464099235896
G_219101992_kappa_0_3,2,1742.3969306453118,2458742.396930645,1.6070666206086737,-2.803430184613519,4000,1,0.21830439111217856,972000,0.16334830726497618
G_219101992_kappa_0_5,1,1758.5913937606974,2458758.591393761,1.4199105840443835,-2.8477454161517377,4000,1,0.45973197584971787,972000,0.1660320242844765
G_219101992_kappa_0_5,2,1758.8427829394413,2458758.8427829393,1.6275927245777817,-2.9711644737539786,4000,1,0.5100098115392029,972000,0.09808694278778048
G_219101992_kappa_0_5,1,1756.0775030112322,2458756.077503011,1.3866485541882914,-2.9157381833283025,4000,1,0.2954363745637238,972000,0.4067320571126237
G_219101992_kappa_0_5,2,1756.3955587037294,2458756.3955587037,1.6121999112454706,-2.2803683858182673,4000,1,0.3590475130826235,972000,0.17406235851956034
G_219101992_kappa_0_5,1,1758.4358380359358,2458758.435838036,1.4207375403579083,-2.8993190863845952,4000,1,0.6763694984838367,972000,0.24528903099027388
G_219101992_kappa_0_5,2,1758.8427829394413,2458758.8427829393,1.626176958225816,-2.9012409115738302,4000,1,0.757758479192853,972000,0.0986755094188086
G_219101992_kappa_0_5,1,1759.8525065443632,2458759.8525065444,0.636769068740733,-1.7864506591818337,4000,1,0.7424237623810768,972000,7.00481246943672
G_219101992_kappa_0_6,1,1744.2372094538423,2458744.2372094537,0.8716014468712443,-2.6211647238074764,4000,1,0.10148828821256757,972000,1.928106966126281
G_219101992_kappa_0_6,2,1755.071947202995,2458755.071947203,1.0133684002611842,-2.1800513942570827,4000,1,0.26843583807349203,972000,0.7745225600573667
G_219101992_kappa_0_6,3,1755.62194730736,2458755.621947307,1.6257641947051822,-4.995229980819389,4000,1,0.3784358588978648,972000,0.330160126248262
G_219101992_kappa_0_6,1,1753.541391784459,2458753.5413917843,1.101602801712242,-2.5877573781182766,4000,1,0.580690266750753,972000,0.4059012461138774
G_219101992_kappa_0_6,1,1760.4177852661164,2458760.417785266,0.9301784594756426,-2.6399236122149974,4000,1,0.7849494124762714,972000,1.344848035225079
G_219101992_kappa_0_6,1,1760.5830633458831,2458760.583063346,1.4280808433973986,-3.2843691334896903,4000,1,0.8264039588160813,972000,0.180556354794666
G_219101992_kappa_0_6,1,1739.4274865463995,2458739.4274865463,1.3159170803380755,-2.80798666116244,4000,1,0.1401175234466791,972000,0.25595060472176656
G_219101992_kappa_0_6,1,1743.2135976498862,2458743.2135976497,1.0405144051116328,-2.240993618541803,4000,1,0.20703131603077055,972000,0.20849888475989697
G_219101992_kappa_0_6,2,1745.6385998027347,2458745.6385998027,1.2963116522619138,-2.2187442218510993,4000,1,0.6920317466370761,972000,0.6557101493158223
G_219101992_kappa_0_7,1,1748.0719373710622,2458748.071937371,1.2208447336588129,-2.6040191009007474,4000,1,0.6862952425144613,972000,0.2910303141171023
G_219101992_kappa_0_7,2,1748.3566602726328,2458748.3566602725,1.6034761599991247,-3.4628777475050487,4000,1,0.7432398227974772,972000,0.17097236980790306
G_219101992_kappa_0_7,1,1760.7427858719661,2458760.742785872,0.6942132816660507,-2.286697831419009,4000,1,0.6009596135467291,972000,0.566714746123809
G_219101992_kappa_0_7,2,1761.3080648286023,2458761.3080648286,1.6167787880337217,-2.4292903810101016,4000,1,0.7140154048800469,972000,0.14089629716952476
G_219101992_kappa_0_7,1,1739.4608198637993,2458739.4608198637,1.2235960226475024,-2.7067907917229364,4000,1,0.928790645301342,972000,0.7140372123530789
G_219101992_kappa_0_7,2,1739.6094309056725,2458739.609430906,1.666666085506211,-4.741764507474718,4000,1,0.9585128537379205,972000,0.1396354076288906
G_219101992_kappa_0_7,1,1746.201100570287,2458746.20110057,0.9521698849916868,-1.8956478182605048,4000,1,0.6155131216160953,972000,0.13534535853127444
G_219101992_kappa_0_7,1,1756.8372256065095,2458756.8372256067,1.2243550864614485,-2.489856927289912,4000,1,0.6557531596161426,972000,0.28222812618946647
G_219101992_kappa_0_8,1,1752.4636144389797,2458752.463614439,0.9771913745842403,-2.647479521550243,4000,1,0.20443811668083073,972000,1.0756541648003546
G_219101992_kappa_0_8,1,1761.3108426126025,2458761.3108426128,1.535486392718062,-3.822665188302518,4000,1,0.6159802182577551,972000,0.31158869029251945
G_219101992_kappa_0_9,1,1747.1163798508335,2458747.116379851,0.9870497252856782,-1.9805493612096448,4000,1,0.146201731543988,972000,0.8512788923363827
G_219101992_kappa_0_10,1,1748.538605177369,2458748.5386051773,1.190292510223064,-2.6329426812522505,4000,1,0.4787026712670922,972000,0.3318668915480991
G_219101992_kappa_0_12,1,1748.1733264963746,2458748.1733264965,1.1436316150405337,-2.451259670348876,4000,1,0.499433630425483,972000,0.7407539569150661
G_219101992_kappa_0_12,1,1746.4024897616737,2458746.402489762,1.2203115504776547,-2.2862650107281426,4000,1,0.8063629265874624,972000,0.18037881327990177
G_219101992_kappa_0_12,2,1746.4566565123034,2458746.4566565123,1.607134480603133,-2.6485964384779703,4000,1,0.817196276690811,972000,0.16320759875880628
G_219101992_kappa_0_12,1,1757.4997260626815,2458757.4997260626,0.8122557835220438,-2.6395663554343916,4000,1,0.5686447761952877,972000,2.5090246421480846
