Host_ID,Kappa,Center,TS_{VM},Host_ID_8,Kappa_8,Center_8,TS_{VM}_8,Host_ID_4,Kappa_4,Center_4,TS_{VM}_4,Host_ID_2,Kappa_2,Center_2,TS_{VM}_2,Host_ID_1,Kappa_1,Center_1,TS_{VM}_1,Host_ID_0.5,Kappa_0.5,Center_0.5,TS_{VM}_0.5,Host_ID_0.25,Kappa_0.25,Center_0.25,TS_{VM}_0.25
0,0.117,0.63,0.31,8,11.1,0.503,54,4,2.64,0.495,29,2,1.38,0.462,17,1,0.91,0.537,15,0.5,0.689,0.666,6.1,0.25,0.12,0.438,0.27
0,0.165,0.85,0.57,8,1.95,0.513,28,4,6.12,0.49,46,2,3.31,0.471,33,1,0,0,0,0.5,0,1,0,0.25,0.802,0.549,13
0,0.67,0.186,8.5,8,5.46,0.491,27,4,4.44,0.485,37,2,1.8,0.503,24,1,1.43,0.542,17,0.5,0,0,0,0.25,0.626,0.564,8.4
0,0,0.413,0,8,5.13,0.475,40,4,6.06,0.52,43,2,2.74,0.481,25,1,0.98,0.559,11,0.5,0.673,0.473,6.1,0.25,0.267,0.627,1.2
0,0,1,0,8,7.76,0.473,42,4,4.1,0.544,23,2,2.12,0.476,34,1,1.71,0.491,25,0.5,1.09,0.52,17,0.25,0,0,0
0,0.281,1,2.1,8,3.26,0.492,41,4,4.89,0.515,34,2,3.95,0.49,31,1,1.03,0.475,11,0.5,0,0,0,0.25,0.821,0.657,10
0,0.155,0.163,0.49,8,8.31,0.462,66,4,2.42,0.489,25,2,1.63,0.488,25,1,1.1,0.568,11,0.5,0.219,0.238,0.71,0.25,0.223,0.606,0.98
0,0.38,0.914,3,8,5.91,0.487,38,4,5.42,0.509,60,2,2.25,0.467,30,1,0.678,0.525,7,0.5,0.253,0.642,0.73,0.25,0,0,0
0,0.517,0.857,3.8,8,7.75,0.5,82,4,4.88,0.48,69,2,2.68,0.455,28,1,0.753,0.55,4.4,0.5,0,0,0,0.25,0,0.94,0
0,0.383,0.123,3.6,8,7.69,0.502,59,4,3.63,0.494,54,2,2.3,0.54,39,1,1.36,0.464,21,0.5,0,0,0,0.25,0.398,0.587,3.4
0,0.131,0.945,0.23,8,3.81,0.519,40,4,4.38,0.456,39,2,2.15,0.516,32,1,0.549,0.515,3.4,0.5,0.62,0.565,4.7,0.25,0,0.47,0
0,0.112,0.872,0.24,8,2.64,0.516,20,4,3.33,0.5,37,2,1.61,0.496,25,1,1.09,0.479,17,0.5,0.623,0.489,5.6,0.25,0.226,0.787,1
0,0,0.778,0,8,4,0.497,37,4,3,0.511,32,2,2.05,0.508,31,1,1.57,0.463,28,0.5,0.833,0.47,11,0.25,0.428,0.754,3.2
0,0,0.0876,0,8,10.3,0.514,41,4,4.45,0.484,50,2,2.73,0.477,38,1,0.819,0.554,10,0.5,0.624,0.48,4.7,0.25,0,0,0
0,0.284,0.893,1.3,8,5.24,0.498,55,4,4.01,0.511,43,2,1.99,0.491,19,1,1.38,0.54,18,0.5,0,0.11,0,0.25,0,0,0
0,0.441,0.946,2.5,8,7.08,0.478,38,4,5.07,0.527,37,2,2.08,0.526,33,1,1.57,0.477,16,0.5,0,0,0,0.25,0,0.157,0
0,0.119,0.858,0.37,8,5.28,0.512,53,4,2.85,0.473,39,2,1.68,0.531,18,1,1.15,0.509,13,0.5,0.373,0.53,2.2,0.25,0.321,0.6,2
