Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
M_219101992_1_kappa_0,1,1685.865135,2458685.865,1.185298519,-2.420644885,4000,1,0.828217067,972000,0.524098545
M_219101992_1_kappa_0,1,1684.776251,2458684.776,1.522862057,-3.252237744,4000,1,0.68469964,972000,0.228395073
M_219101992_1_kappa_0,2,1705.915063,2458705.915,1.213116622,-2.765384742,4000,1,0.368487713,972000,0.903328643
M_219101992_1_kappa_0,1,1700.14842,2458700.148,1.425847389,-2.634642441,4000,1,0.140148059,972000,0.414293813
M_219101992_1_kappa_0,1,1695.044272,2458695.044,1.548812196,-3.123849654,4000,1,0.337769702,972000,0.170627299
M_219101992_1_kappa_0,2,1695.127605,2458695.128,1.657520969,-3.267422134,4000,1,0.35443635,972000,0.241509354
M_219101992_1_kappa_0,1,1693.024831,2458693.025,1.563872515,-3.285129582,4000,1,0.305136682,972000,0.075100605
M_219101992_1_kappa_0,2,1693.716496,2458693.716,1.6645448,-2.21755514,4000,1,0.443469694,972000,0.256148123
M_219101992_1_kappa_0,3,1702.338688,2458702.339,1.395083376,-2.983920428,4000,1,0.167908014,972000,0.362135041
M_219101992_1_kappa_0,5,1703.247017,2458703.247,1.181813823,-2.186299433,4000,1,0.34957392,972000,0.760748468
M_219101992_1_kappa_0,1,1694.147051,2458694.147,1.248798671,-2.097098549,4000,1,0.004083097,972000,0.413198266
M_219101992_1_kappa_0,3,1705.987285,2458705.987,1.263519352,-2.412191344,4000,1,0.372129927,972000,0.483735084
M_219101992_1_kappa_0,1,1693.978996,2458693.979,1.588656279,-3.873881101,4000,1,0.523999526,972000,0.271370158
M_219101992_1_kappa_0,2,1694.469273,2458694.469,1.590017666,-2.481615892,4000,1,0.622054902,972000,0.328186185
M_219101992_1_kappa_0,4,1709.001166,2458709.001,0.970635815,-2.671853692,4000,1,0.528433647,972000,2.614382057
M_219101992_1_kappa_0,1,1697.410934,2458697.411,0.893082683,-2.551022413,4000,1,0.703167178,972000,4.285947518
M_219101992_1_kappa_0,1,1687.054018,2458687.054,0.935403435,-2.270199149,4000,1,0.320908348,972000,0.800393505
M_219101992_1_kappa_0,1,1694.833161,2458694.833,1.27119044,-2.034193394,4000,1,0.188757016,972000,0.796504219
M_219101992_1_kappa_0,2,1695.080383,2458695.08,1.657827611,-2.131125864,4000,1,0.238201398,972000,0.188531328
M_219101992_1_kappa_0,3,1696.367882,2458696.368,1.404847421,-2.592497214,4000,1,0.495701254,972000,0.410212297
M_219101992_1_kappa_0,4,1698.305374,2458698.305,0.838206808,-2.430006449,4000,1,0.883199625,972000,2.810621335
M_219101992_1_kappa_0,6,1705.872008,2458705.872,1.43309582,-0.904585593,4000,1,0.396526367,972000,0.072964843
M_219101992_1_kappa_0,1,1689.327621,2458689.328,1.116892036,-2.123320085,4000,1,0.676545465,972000,0.400796222
M_219101992_1_kappa_0,1,1687.747071,2458687.747,1.40537105,-2.619567651,4000,1,0.956088763,972000,0.22352556
M_219101992_1_kappa_0,2,1695.341494,2458695.341,1.048923888,-2.687896906,4000,1,0.474973266,972000,1.920743872
M_219101992_1_kappa_0,1,1684.999861,2458685,0.854855195,-2.63070785,4000,1,0.139401264,972000,6.040044298
M_219101992_1_kappa_0,2,1694.708161,2458694.708,1.432203697,-2.063245953,4000,1,0.081061275,972000,0.336049744
M_219101992_1_kappa_0,3,1703.413683,2458703.414,1.577986427,-3.360464247,4000,1,0.822165729,972000,0.314717635
M_219101992_1_kappa_0,4,1703.930348,2458703.93,0.83708873,-1.926019418,4000,1,0.925498654,972000,4.042561441
M_219101992_1_kappa_0,1,1685.744302,2458685.744,1.212760296,-2.417534467,4000,1,0.402977283,972000,0.756887453
M_219101992_1_kappa_0,2,1685.944301,2458685.944,0.918320014,-2.661022991,4000,1,0.442977102,972000,5.717369095
M_219101992_1_kappa_0,3,1692.112334,2458692.112,1.274250228,-2.504138255,4000,1,0.676583603,972000,0.314091251
M_219101992_1_kappa_0,1,1689.995674,2458689.996,0.752381271,-1.967238688,4000,1,0.405923255,972000,2.286286428
M_219101992_1_kappa_0,2,1694.338717,2458694.339,1.145283393,-2.595208593,4000,1,0.274531957,972000,0.841119679
M_219101992_1_kappa_0,3,1694.519272,2458694.519,1.647603285,-1.991093103,4000,1,0.310643007,972000,0.192704654
M_219101992_1_kappa_0,5,1707.153948,2458707.154,1.450760538,-2.911271792,4000,1,0.837578153,972000,0.326810888
M_219101992_1_kappa_0,1,1687.280406,2458687.28,1.188887765,-2.647748356,4000,1,0.625530336,972000,0.558276564
M_219101992_1_kappa_0,2,1688.627623,2458688.628,1.603036373,-1.753919399,4000,1,0.894973697,972000,0.338603479
M_219101992_1_kappa_0,3,1690.655394,2458690.655,1.49093592,-3.182780772,4000,1,0.300527792,972000,0.193791156
M_219101992_1_kappa_0,4,1691.410947,2458691.411,1.6441554,-3.232278656,4000,1,0.451638418,972000,0.192885792
