Host_ID,p_KU,p_KS,p_AD,p_KS_Samp,p_AD_Samp,N,Host_ID_0.25,p_KU_0.25,p_KS_0.25,p_AD_0.25,p_KS_Samp_0.25,p_AD_Samp_0.25,N_0.25,Host_ID_0.5_0.5,p_KU_0.5,p_KS_0.5,p_AD_0.5,p_KS_Samp_0.5,p_AD_Samp_0.5,N_0.5,Host_ID,p_KU_1,p_KS_1,p_AD_1,p_KS_Samp_1,p_AD_Samp_1,N_1,Host_ID_2,p_KU_2,p_KS_2,p_AD_2,p_KS_Samp_2,p_AD_Samp_2,N_2,Host_ID_4,p_KU_4,p_KS_4,p_AD_4,p_KS_Samp_4,p_AD_Samp_4,N_4,Host_ID_8,p_KU_8,p_KS_8,p_AD_8,p_KS_Samp_8,p_AD_Samp_8,N_8
M_219101992_18_kappa_0,0.20625503,0.647535436,0.668470938,0.277142209,0.334916992,41,M_219101992_18_kappa_0.25,0.284778132,0.242967197,0.541505445,0.280852663,0.392798206,40,M_219101992_18_kappa_0.5,0.090082486,0.021037136,0.054813327,0.099691681,0.228740006,34,M_219101992_18_kappa_1,0.00945328,0.254454172,0.151992088,0.040929027,0.043705075,31,M_219101992_18_kappa_2,2.95E-07,0.001124868,0.003091658,0.002218738,0.001025477,37,M_219101992_18_kappa_4,1.47E-10,0.004542247,0.004379517,0.000579695,0.001010173,21,M_219101992_18_kappa_8,1.02E-10,0.004777475,0.006649286,0.000453152,0.001597451,17
M_219101992_19_kappa_0,0.003011786,0.101472981,0.101327568,0.042149067,0.066975644,41,M_219101992_19_kappa_0.25,0.592982335,0.512676732,0.742970994,0.500166847,0.601769427,40,M_219101992_19_kappa_0.5,0.046074516,0.032610644,0.05133392,0.078816785,0.050118331,34,M_219101992_19_kappa_1,0.019990323,0.081716571,0.12699023,0.094858457,0.101172729,27,M_219101992_19_kappa_2,2.78E-07,0.002301303,0.004886378,0.002205743,0.002603545,35,M_219101992_19_kappa_4,3.75E-08,0.002272193,0.007304065,0.000570076,0.000985414,25,M_219101992_19_kappa_8,1.16E-05,0.062773285,0.04017189,0.010332439,0.01726428,11
M_219101992_2_kappa_0,0.974891662,0.969701612,0.992109848,0.907924749,0.874462253,54,M_219101992_2_kappa_0.25,0.13978287,0.286486781,0.282659782,0.176677109,0.212291877,25,M_219101992_2_kappa_0.5,0.001625589,0.114538286,0.035363937,0.023552532,0.013305435,36,M_219101992_2_kappa_1,0.004914595,0.04251708,0.078148441,0.064306431,0.044755304,24,M_219101992_2_kappa_2,1.09E-06,0.019373635,0.007150841,0.003075594,0.0019047,25,M_219101992_2_kappa_4,2.28E-10,0.001473536,0.002886777,0.000250289,0.000699942,19,M_219101992_2_kappa_8,3.66E-07,0.032475164,0.026566861,0.004886937,0.012989823,11
M_219101992_20_kappa_0,0.469125374,0.811559733,0.204828183,0.402580955,0.34461053,41,M_219101992_20_kappa_0.25,0.012261401,0.152543487,0.123697445,0.075435724,0.066238133,30,M_219101992_20_kappa_0.5,0.007157699,0.095041976,0.054791086,0.058434956,0.035339258,35,M_219101992_20_kappa_1,0.109064772,0.341804598,0.250418316,0.298369785,0.270471338,17,M_219101992_20_kappa_2,5.97E-07,0.02358006,0.011216656,0.001688879,0.002643539,23,M_219101992_20_kappa_4,4.04E-15,0.00019889,0.000250352,2.03E-05,3.69E-05,29,M_219101992_20_kappa_8,1.44E-11,0.00298555,0.001984526,0.000154278,0.000380514,19
M_219101992_21_kappa_0,0.027957049,0.225614152,0.176739961,0.077242271,0.077747678,41,M_219101992_21_kappa_0.25,0.024217683,0.010515248,0.005610866,0.153633323,0.204113372,35,M_219101992_21_kappa_0.5,0.055033659,0.089867899,0.229666196,0.111079257,0.123979754,28,M_219101992_21_kappa_1,0.004604918,0.218354018,0.093223205,0.066322087,0.062340948,36,M_219101992_21_kappa_2,4.50E-07,0.012430319,0.009330572,0.00171141,0.001358794,24,M_219101992_21_kappa_4,3.86E-05,0.039766067,0.023470511,0.010267125,0.006481384,17,M_219101992_21_kappa_8,1.49E-08,0.005619018,0.012005723,0.003213501,0.006924527,25
M_219101992_22_kappa_0,0.230096993,0.09506078,0.089531313,0.310698798,0.281436202,42,M_219101992_22_kappa_0.25,0.825955254,0.420058894,0.399104898,0.680699465,0.604004303,40,M_219101992_22_kappa_0.5,0.230442613,0.336086073,0.386082147,0.290830219,0.280736054,22,M_219101992_22_kappa_1,0.401201335,0.227600334,0.193392029,0.309157792,0.261406067,24,M_219101992_22_kappa_2,1.40E-05,0.025266747,0.021581989,0.004378178,0.007848994,26,M_219101992_22_kappa_4,1.65E-08,0.00642777,0.003328218,0.000508321,0.000343396,24,M_219101992_22_kappa_8,6.14E-09,0.001429553,0.003359948,0.000726245,0.000871152,23
M_219101992_23_kappa_0,0.037125257,0.019588159,0.022174617,0.06835293,0.050403987,45,M_219101992_23_kappa_0.25,0.020796779,0.017169332,0.038585939,0.076837372,0.065660454,34,M_219101992_23_kappa_0.5,0.373469004,0.726381197,0.504298493,0.395253616,0.334816625,43,M_219101992_23_kappa_1,0.029065628,0.120762322,0.18690081,0.103948147,0.114764484,32,M_219101992_23_kappa_2,1.48E-06,0.01152805,0.010274649,0.004103125,0.002508957,26,M_219101992_23_kappa_4,1.37E-13,0.000167081,0.000291199,7.02E-05,9.10E-05,30,M_219101992_23_kappa_8,2.78E-09,0.000564049,0.003625552,0.000803575,0.000973439,20
M_219101992_24_kappa_0,0.194675236,0.585109229,0.491355836,0.294296666,0.329077125,40,M_219101992_24_kappa_0.25,0.057237158,0.327744069,0.213047879,0.128818572,0.091766185,48,M_219101992_24_kappa_0.5,0.289519006,0.578458419,0.633700253,0.464662944,0.418268008,31,M_219101992_24_kappa_1,0.000471917,0.11244133,0.037024734,0.01431866,0.008369961,32,M_219101992_24_kappa_2,0.000483037,0.022068372,0.035086889,0.014583901,0.015199629,24,M_219101992_24_kappa_4,5.81E-11,0.003656561,0.002726534,7.27E-05,0.000111136,19,M_219101992_24_kappa_8,2.73E-13,0.001838448,0.002513504,0.000100313,0.000461138,18
M_219101992_25_kappa_0,0.289540341,0.14613902,0.228849296,0.383462665,0.43086717,41,M_219101992_25_kappa_0.25,0.473772028,0.661222449,0.719008549,0.466300156,0.425430734,36,M_219101992_25_kappa_0.5,0.064053196,0.43804919,0.368153253,0.147045273,0.182509595,39,M_219101992_25_kappa_1,0.000129999,0.010542854,0.020797526,0.00946535,0.007173148,30,M_219101992_25_kappa_2,1.17E-08,0.00044245,0.003644832,0.000865776,0.000943636,26,M_219101992_25_kappa_4,3.75E-13,0.000922582,0.000629965,2.17E-05,0.00010612,27,M_219101992_25_kappa_8,7.89E-09,0.004509146,0.006317023,0.001334029,0.001962321,17
M_219101992_26_kappa_0,0.237079353,0.443626279,0.636590144,0.340594672,0.342550376,46,M_219101992_26_kappa_0.25,0.435500718,0.265110509,0.163949862,0.475206435,0.471278228,41,M_219101992_26_kappa_0.5,0.000146001,0.017672379,0.014607237,0.008027653,0.003895115,30,M_219101992_26_kappa_1,0.002281384,0.126395545,0.108668762,0.053711663,0.068421346,28,M_219101992_26_kappa_2,0.003616597,0.148562028,0.075704084,0.025377036,0.019843671,24,M_219101992_26_kappa_4,3.90E-08,0.002523462,0.006566419,0.001172547,0.001914411,18,M_219101992_26_kappa_8,9.51E-17,0.000145558,0.0001526,2.78E-05,4.81E-05,29
